;artista;musica;pontos;pts_ganho;pts_total;data
0;Shakira;Dai Dai;15825;602;1,482;20260819
1;Burna Boy;Dai Dai;15825;602;1,482;20260819
2;BIGBANG;BiiiG;15223;15223;0,015;20260819
3;HUGEL;Movin' To The Sun;14965;-43;1,115;20260819
4;Imael Angel;Movin' To The Sun;14965;-43;1,115;20260819
5;Ultra Naté;Movin' To The Sun;14965;-43;1,115;20260819
6;Kimo Sounds;Rise Slow;10122;-985;0,574;20260819
7;Ella Langley;Choosin' Texas;9633;959;1,779;20260819
8;Ariana Grande;hate that i made you love me;8683;-61;0,878;20260819
9;SK.music;Inside My Soul;8628;-56;0,27;20260819
10;HUGEL;Jamaican;8316;-531;0,992;20260819
11;SOLTO (FR);Jamaican;8316;-531;0,992;20260819
12;Fontaines D.C.;Marianne;7929;-130;0,016;20260819
13;Taylor Swift;I Knew It, I Knew You;6536;417;0,746;20260819
14;RAYE;WHERE IS MY HUSBAND;6147;507;3,207;20260819
15;Kimo Sounds;Make It Spectacular;5969;-1028;0,059;20260819
16;STELLA LEFTY;Boston;5944;365;0,546;20260819
17;Alex Warren;FEVER DREAM;5872;-232;1,313;20260819
18;Azteck;Everything's Alright;5871;568;0,141;20260819
19;DJ Koko;Everything's Alright;5871;568;0,141;20260819
20;Kurt D;Everything's Alright;5871;568;0,141;20260819
21;Alex Warren;Ordinary;5473;113;6,232;20260819
22;KATSEYE;Animal;5320;872;0,136;20260819
23;Sadie Barlow;I Choose Me;5288;1939;0,068;20260819
24;Temper City;Self Aware;5268;-377;0,291;20260819
25;Harry Styles;Sign of the Times;5173;182;5,214;20260819
26;DJ.ILHAM;DIGIDI DIGIDI;5077;335;0,518;20260819
27;Tame Impala;Loser;5051;391;0,117;20260819
28;Olivia Dean;Man I Need;4661;-1008;2,758;20260819
29;Bebe Rexha;New Religion;4610;-9;1,056;20260819
30;Faithless;New Religion;4610;-9;1,056;20260819
31;Harry Styles;American Girls;4559;639;0,703;20260819
32;Teddy Swims;Mr. Know It All;4526;603;0,634;20260819
33;Olivia Rodrigo;drop dead;4365;201;0,823;20260819
34;Issouf Manem yam;Valhalla Calling;4359;507;0,064;20260819
35;ANOTR;Talk To You;4311;-479;0,538;20260819
36;Olivia Dean;So Easy;4078;-709;1,854;20260819
37;Ac/Dc;Thunderstruck;3979;-1242;4,341;20260819
38;Bonnie Tyler;Total Eclipse of the Heart;3954;-2972;0,687;20260819
39;Michael Jackson;Billie Jean;3944;-1015;1,646;20260819
40;Olivia Rodrigo;stupid song;3935;153;0,273;20260819
41;TOMORROW X TOGETHER;Setsuna Hanabi;3865;-426;0,014;20260819
42;Jamie Miller;Babydoll;3863;901;0,025;20260819
43;Ella Langley;Be Her;3843;246;0,589;20260819
44;Sam Fender;Rein Me In;3799;-164;0,906;20260819
45;Olivia Dean;Rein Me In;3799;-164;0,906;20260819
46;HUNTR/X;Golden;3658;-171;5,499;20260819
47;EJAE;Golden;3658;-171;5,499;20260819
48;AUDREY NUNA;Golden;3658;-171;5,499;20260819
49;REI AMI;Golden;3658;-171;5,499;20260819
