id_musica;musica;id_artista;artista
01a02690-22e2-7774-a1a3-e49dc356ad30;For us;01a02690-0cc1-721d-98dd-5c2c9360681b;&TEAM
01a02690-22e2-7774-a1a3-e49e64720f6d;Sakura-iro Yell;01a02690-0cc1-721d-98dd-5c2c9360681b;&TEAM
01a02690-22e2-7774-a1a3-e49fed1e71d9;We on Fire;01a02690-0cc1-721d-98dd-5c2c9360681b;&TEAM
01a02690-22e2-7774-a1a3-e4a0adedf4de;桜色Yell;01a02690-0cc1-721d-98dd-5c2c9360681b;&TEAM
01a02690-22e2-7774-a1a3-e4a10554dc5f;SonoAide;01a02690-0cc1-721d-98dd-5c2ddf3f31cf;-真天地開闢集団-ジグザグ
01a02690-22e2-7774-a1a3-e4a2f966107b;Heart of Rainbow;01a02690-0cc1-721d-98dd-5c2ee709d51c;.ENDRECHERI.
01a02690-22e2-7774-a1a3-e4a3669df974;Thinking Time;01a02690-0cc1-721d-98dd-5c2ee709d51c;.ENDRECHERI.
01a02690-22e2-7774-a1a3-e4a4357e5a95;Burn Out to Nothing;01a02690-0cc1-721d-98dd-5c2f27bae49f;10-FEET
01a02690-22e2-7774-a1a3-e4a516200979;福气马上来;01a02690-0cc1-721d-98dd-5c30c419f6b1;1119
01a02690-22e2-7774-a1a3-e4a69fc31e26;Nur dir gehör'n;01a02690-0cc1-721d-98dd-5c3113574d39;1986zig
01a02690-22e2-7774-a1a3-e4a77c957beb;Bokuraga uwagakisurusekai;01a02690-0cc1-721d-98dd-5c326631fa81;20th Century
01a02690-22e2-7774-a1a3-e4a844aa5ccc;Levitate ft Spice 1;01a02690-0cc1-721d-98dd-5c331392bb99;2facecapone
01a02690-22e2-7774-a1a3-e4a9c8318064;36Grad;01a02690-0cc1-721d-98dd-5c345a08093a;2raumwohnung
01a02690-22e2-7774-a1a3-e4aad74dedec;Away from the Sun;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4ab21089a6f;Be Like That;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4ac95816ef3;Here Without You;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4ad444d0b3c;It's Not My Time;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4aeb14b1d7b;Kryptonite;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4af63cb0bad;Let Me Go;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4b056d8c0d1;Loser;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4b1864febc7;When I'm Gone;01a02690-0cc1-721d-98dd-5c35efa10484;3 Doors Down
01a02690-22e2-7774-a1a3-e4b25e349414;Crashing Winners;01a02690-0cc1-721d-98dd-5c3630da4c32;3SKM
01a02690-22e2-7774-a1a3-e4b3a68f5dc0;What's Up;01a02690-0cc1-721d-98dd-5c37e9c727da;4 Non Blondes
01a02690-22e2-7774-a1a3-e4b43b18fe8e;Bonita Bonita;01a02690-0cc1-721d-98dd-5c3871dabaf9;4AMTapes
01a02690-22e2-7774-a1a3-e4b5b36bd0d1;Dress code : Ultimate;01a02690-0cc1-721d-98dd-5c3905b38dab;765 MILLION ALLSTARS
01a02690-22e2-7774-a1a3-e4b6fdaa879a;RASEN;01a02690-0cc1-721d-98dd-5c3a0b266865;9Lana
01a02690-22e2-7774-a1a3-e4b6fdaa879a;RASEN;01a02690-0cc1-721d-98dd-5c3bf7de9bed;9Lana - 螺旋
01a02690-22e2-7774-a1a3-e4b760ce9f53;GekiyakuChudoku;01a02690-0cc1-721d-98dd-5c3cd785af01;=LOVE
01a02690-22e2-7774-a1a3-e4b80c10b1b2;Koi, Hajimemashita.;01a02690-0cc1-721d-98dd-5c3cd785af01;=LOVE
01a02690-22e2-7774-a1a3-e4b97e438cae;モラトリアム;01a02690-0cc1-721d-98dd-5c3cd785af01;=LOVE
01a02690-22e2-7774-a1a3-e4baa30eafa8;劇薬中毒;01a02690-0cc1-721d-98dd-5c3cd785af01;=LOVE
01a02690-22e2-7774-a1a3-e4bb25e00140;11 Jecke;01a02690-0cc1-721d-98dd-5c3dcaa9b0ab;@47_kö11sch
01a02690-22e2-7774-a1a3-e4bc9c0058ad;ALWAYS LET YOU DOWN;01a02690-0cc1-721d-98dd-5c3e912f61f8;A Day to Remember
01a02690-22e2-7774-a1a3-e4bd27f295c1;HELICOPTER;01a02690-0cc1-721d-98dd-5c3f80a18f03;A$AP Rocky
01a02690-22e2-7774-a1a3-e4be8353c31f;Helicopter$;01a02690-0cc1-721d-98dd-5c3f80a18f03;A$AP Rocky
01a02690-22e2-7774-a1a3-e4bfa196d53f;Punk Rocky;01a02690-0cc1-721d-98dd-5c3f80a18f03;A$AP Rocky
01a02690-22e2-7774-a1a3-e4c0b8bdeb69;Iconic;01a02690-0cc1-721d-98dd-5c4059b23cfd;A*Teens
01a02690-22e2-7774-a1a3-e4c155ca472f;You Got The Look;01a02690-0cc1-721d-98dd-5c4059b23cfd;A*Teens
01a02690-22e2-7774-a1a3-e4c214140770;Maji Magic;01a02690-0cc1-721d-98dd-5c41351a7cab;A.B.C-Z
01a02690-22e2-7774-a1a3-e4c368a858a8;Last Call for Love;01a02690-0cc1-721d-98dd-5c42bf1f2931;ABARZA RECABAL ERICK YORDAN
01a02690-22e2-7774-a1a3-e4c47b3f92b6;Dancing Queen;01a02690-0cc1-721d-98dd-5c436e2cc306;ABBA
01a02690-22e2-7774-a1a3-e4c5e2d0574c;Fernando;01a02690-0cc1-721d-98dd-5c436e2cc306;ABBA
01a02690-22e2-7774-a1a3-e4c641dbaa60;Gimme Gimme Gimme;01a02690-0cc1-721d-98dd-5c436e2cc306;ABBA
01a02690-22e2-7774-a1a3-e4c78d16b2c3;Happy New Year;01a02690-0cc1-721d-98dd-5c436e2cc306;ABBA
01a02690-22e2-7774-a1a3-e4c8e5e33c1a;The Winner Takes It All;01a02690-0cc1-721d-98dd-5c436e2cc306;ABBA
01a02690-22e2-7774-a1a3-e4c9c9ef2e04;Back In Black;01a02690-0cc1-721d-98dd-5c44e196fb4f;AC/DC
01a02690-22e2-7774-a1a3-e4cab01d1723;Highway to Hell;01a02690-0cc1-721d-98dd-5c44e196fb4f;AC/DC
01a02690-22e2-7774-a1a3-e4cb5b1d8380;Skyfall;01a02690-0cc1-721d-98dd-5c455ad26397;ADELE
01a02690-22e2-7774-a1a3-e4cc8ac73abc;Awake Tonight;01a02690-0cc1-721d-98dd-5c4659e6b1f1;AFROJACK
01a02690-22e2-7774-a1a3-e4cd17c2fcde;RUN TO YOU;01a02690-0cc1-721d-98dd-5c4771ed09f2;AHOF
01a02690-22e2-7774-a1a3-e4ceddbd0880;Sugar High;01a02690-0cc1-721d-98dd-5c4771ed09f2;AHOF
01a02690-22e2-7774-a1a3-e4cfd667a843;No Stress, Just Vibes;01a02690-0cc1-721d-98dd-5c4895a7b000;AI IRIE FM
01a02690-22e2-7774-a1a3-e4d0a6691477;「紡ぐ日常」;01a02690-0cc1-721d-98dd-5c49a6d3673b;AI MIKAZE(CV.Shouta Aoi)
01a02690-22e2-7774-a1a3-e4d1b55e276f;アンビバレント;01a02690-0cc1-721d-98dd-5c49a6d3673b;AI MIKAZE(CV.Shouta Aoi)
01a02690-22e2-7774-a1a3-e4d2e7cdd23d;夢ノ聖火;01a02690-0cc1-721d-98dd-5c49a6d3673b;AI MIKAZE(CV.Shouta Aoi)
01a02690-22e2-7774-a1a3-e4d36a2f4ffc;Trying Hard Is Hard, So I Try Hard to Try Hard.;01a02690-0cc1-721d-98dd-5c4a16cad224;AISHA
01a02690-22e2-7774-a1a3-e4d49c9b6ca3;Ausgesorgt;01a02690-0cc1-721d-98dd-5c4b1ce189e9;AK AUSSERKONTROLLE
01a02690-22e2-7774-a1a3-e4d5ee934892;Nagorizakura;01a02690-0cc1-721d-98dd-5c4c86586426;AKB48
01a02690-22e2-7774-a1a3-e4d6658eb009;Sukish;01a02690-0cc1-721d-98dd-5c4c86586426;AKB48
01a02690-22e2-7774-a1a3-e4d70e2ddff6;FUNKIN' BEAUTIFUL;01a02690-0cc1-721d-98dd-5c4df4e88970;ALI
01a02690-22e2-7774-a1a3-e4d8e0566b50;Cinnamon Shake;01a02690-0cc1-721d-98dd-5c4e20a60093;ALPHA DRIVE ONE
01a02690-22e2-7774-a1a3-e4d96b3d9b8c;FREAK ALARM;01a02690-0cc1-721d-98dd-5c4e20a60093;ALPHA DRIVE ONE
01a02690-22e2-7774-a1a3-e4daa5fd64c1;Raw Flame;01a02690-0cc1-721d-98dd-5c4e20a60093;ALPHA DRIVE ONE
01a02690-22e2-7774-a1a3-e4db7970b802;BOH;01a02690-0cc1-721d-98dd-5c4f177edf0d;ANDITA
01a02690-22e2-7774-a1a3-e4dceb5ddb5d;Talk To You;01a02690-0cc1-721d-98dd-5c507d15603a;ANOTR
01a02690-22e2-7774-a1a3-e4ddaf1c2fcc;A・RA・SHI;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4de2cb68e51;Five;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4dfda2d843d;Guts;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e081549972;Happiness;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e109d1d1a5;Love so Sweet;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e2304ab75e;Lucky Man;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e39e4720e8;Løve Rainbow;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e4f6a419f9;Monster;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e57f724c69;One Love;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e6b6c725c0;truth;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e7483b8381;エナジーソング～絶好調超～;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
01a02690-22e2-7774-a1a3-e4e873a69d37;カイト;01a02690-0cc1-721d-98dd-5c511d5d126b;ARASHI
