id_musica;generos
01a02706-e024-7485-80f6-934e371aaaae;
01a02706-e024-7485-80f6-934f812b0450;
01a02706-e024-7485-80f6-93506f777dc5;
01a02706-e024-7485-80f6-93516226f055;
01a02706-e024-7485-80f6-935203870fca;
01a02706-e024-7485-80f6-935302aa832a;
01a02706-e024-7485-80f6-9354df9d2b15;
01a02706-e024-7485-80f6-9355e1b89719;
01a02706-e024-7485-80f6-9356a7fa1502;
01a02706-e024-7485-80f6-935702e3fc99;
01a02706-e024-7485-80f6-9358787f4866;
01a02706-e024-7485-80f6-935930c5ce3e;
01a02706-e024-7485-80f6-935a3c2770ff;electro|electronic|pop
01a02706-e024-7485-80f6-935b49b905cd;
01a02706-e024-7485-80f6-935c776327ac;alternative metal|alternative rock|heavy metal|pop rock|post-grunge|rock|southern rock
01a02706-e024-7485-80f6-935d5d4a5e5e;alternative metal|alternative rock|arena rock|funk|grunge|hard rock|heavy metal|house|pop|pop rock|post-grunge|rock|soft rock|southern rock|symphonic rock
01a02706-e024-7485-80f6-935e17059cc1;alternative rock|rock
01a02706-e024-7485-80f6-935fd9c527ce;alternative metal|alternative rock|arena rock|hard rock|heavy metal|pop|pop rock|post-grunge|rock|southern rock
01a02706-e024-7485-80f6-9360b7fefe5a;alternative rock|hard rock|pop|pop rock|post-grunge|rock
01a02706-e024-7485-80f6-93610290ee65;alternative metal|alternative rock|hard rock|heavy metal|pop rock|post-grunge|reggae|rock|southern rock
01a02706-e024-7485-80f6-936284400805;alternative rock|pop|rock
01a02706-e024-7485-80f6-9363d77ae564;
01a02706-e024-7485-80f6-93646d338d8f;
01a02706-e024-7485-80f6-9365f10709e0;
01a02706-e024-7485-80f6-9366f1963dc2;
01a02706-e024-7485-80f6-93676aa10fb5;
01a02706-e024-7485-80f6-936878768f5d;
01a02706-e024-7485-80f6-93698fa1fb76;
01a02706-e024-7485-80f6-936ac0ee76d5;
01a02706-e024-7485-80f6-936b97816fef;
01a02706-e024-7485-80f6-936cdb79cbc1;
01a02706-e024-7485-80f6-936d35d14572;
01a02706-e024-7485-80f6-936e996b4323;
01a02706-e024-7485-80f6-936f73af09da;
01a02706-e024-7485-80f6-9370d9763c4b;
01a02706-e024-7485-80f6-9371ba4deb09;
01a02706-e024-7485-80f6-93721011a967;
01a02706-e024-7485-80f6-93735849ac6e;
01a02706-e024-7485-80f6-9374566a20b7;
01a02706-e024-7485-80f6-93755cd0da4c;dance|dance-pop|disco|electronic|euro-disco|europop|house|pop|pop rock|rock|soft rock|synth-pop
01a02706-e024-7485-80f6-937662d33384;dance|dance-pop|disco|electronic|euro-disco|europop|pop|pop rock|soft rock|synth-pop
01a02706-e024-7485-80f6-9377024d1f59;
01a02706-e024-7485-80f6-9378c69f5586;ballad|christmas music|dance-pop|disco|europop|pop|schlager
01a02706-e024-7485-80f6-9379c9b8b6e0;acid jazz|ballad|dance|dance-pop|disco|euro-disco|europop|pop|pop rock|soft rock
01a02706-e024-7485-80f6-937a74494885;hard rock
01a02706-e024-7485-80f6-937b0e1f6c82;arena rock|blues|blues rock|classic rock|hard rock|heavy metal|metal|pop|pop rock|rock|rock and roll
01a02706-e024-7485-80f6-937cac3f7480;
01a02706-e024-7485-80f6-937db38a93f7;
01a02706-e024-7485-80f6-937eb71720da;
01a02706-e024-7485-80f6-937fe043932a;
01a02706-e024-7485-80f6-93802ccad01f;
01a02706-e024-7485-80f6-9381c1055cbc;
01a02706-e024-7485-80f6-938268eda2cc;
01a02706-e024-7485-80f6-938331a14edc;
01a02706-e024-7485-80f6-9384180d3b50;
01a02706-e024-7485-80f6-9385a3eb5d4d;
01a02706-e024-7485-80f6-9386b4ed8a70;
01a02706-e024-7485-80f6-9387c29872fd;
01a02706-e024-7485-80f6-9388a754c40f;
01a02706-e024-7485-80f6-938954336556;
01a02706-e024-7485-80f6-938a885720f4;
01a02706-e024-7485-80f6-938b3186b2e3;
01a02706-e024-7485-80f6-938c99ec5f99;
01a02706-e024-7485-80f6-938d72b05659;
