id_musica;musica;media_pontos;media_pts_ganho;total_pts_calc
01a026ec-82eb-726a-b9a9-c9fb0f37c08f;For us;2077.0;882.5;0.006
01a026ec-82eb-726a-b9a9-c9fc44345e23;Sakura-iro Yell;1166.3333333333333;805.3333333333334;0.01
01a026ec-82eb-726a-b9a9-c9fd59ee8afe;We on Fire;1242.5;525.0;0.003
01a026ec-82eb-726a-b9a9-c9fe1ed0de0f;桜色Yell;1177.0;1177.0;0.001
01a026ec-82eb-726a-b9a9-c9ff3d71ee30;SonoAide;1439.5;670.5;0.005
01a026ec-82eb-726a-b9a9-ca005c58ff32;Heart of Rainbow;1756.0;516.0;0.006
01a026ec-82eb-726a-b9a9-ca01061049a5;Thinking Time;1338.0;549.5;0.005
01a026ec-82eb-726a-b9a9-ca02543844fa;Burn Out to Nothing;1124.375;45.0;0.061
01a026ec-82eb-726a-b9a9-ca039284ac5f;福气马上来;1255.5714285714287;197.28571428571428;0.108
01a026ec-82eb-726a-b9a9-ca0499390c82;Nur dir gehör'n;1125.0;849.0;0.003
01a026ec-82eb-726a-b9a9-ca05009dfe67;Bokuraga uwagakisurusekai;1385.3333333333333;270.6666666666667;0.033
01a026ec-82eb-726a-b9a9-ca0627886d06;Levitate ft Spice 1;1003.5;234.5;0.006
01a026ec-82eb-726a-b9a9-ca07210b450e;36Grad;1648.2857142857142;44.42857142857143;0.476
01a026ec-82eb-726a-b9a9-ca08b4769a74;Away from the Sun;1159.3333333333333;326.3333333333333;0.007
01a026ec-82eb-726a-b9a9-ca09b2e91efe;Be Like That;1469.0;613.5;0.005
01a026ec-82eb-726a-b9a9-ca0a1cb922ef;Here Without You;5069.066666666667;87.66666666666667;6.322
01a026ec-82eb-726a-b9a9-ca0b7b6b1162;It's Not My Time;2537.3333333333335;191.66666666666666;0.254
01a026ec-82eb-726a-b9a9-ca0cbd07c46f;Kryptonite;3768.9166666666665;99.0;3.774
01a026ec-82eb-726a-b9a9-ca0d6138b5fb;Let Me Go;1271.0;571.5;0.004
01a026ec-82eb-726a-b9a9-ca0ee070e0b6;Loser;4668.0952380952385;245.8095238095238;1.405
01a026ec-82eb-726a-b9a9-ca0f0461fa4e;When I'm Gone;2586.7;118.9;0.311
01a026ec-82eb-726a-b9a9-ca10f4a506ff;Crashing Winners;1244.5;264.0;0.01
01a026ec-82eb-726a-b9a9-ca117de4cdd2;What's Up;1779.109375;179.8125;81.464
01a026ec-82eb-726a-b9a9-ca1212bf3435;Bonita Bonita;1276.5333333333333;32.333333333333336;0.214
01a026ec-82eb-726a-b9a9-ca13bcd60b10;Dress code : Ultimate;1314.0;375.0;0.008
01a026ec-82eb-726a-b9a9-ca1476a22bbf;RASEN;1450.25;1179.0;0.009000000000000001
01a026ec-82eb-726a-b9a9-ca15857471de;GekiyakuChudoku;1213.5;1213.5;0.018000000000000002
01a026ec-82eb-726a-b9a9-ca161a6b1e49;Koi, Hajimemashita.;1193.0;892.0;0.001
01a026ec-82eb-726a-b9a9-ca173b010e9c;モラトリアム;1040.0;1040.0;0.001
01a026ec-82eb-726a-b9a9-ca18466e060f;劇薬中毒;1236.0;1236.0;0.001
