artista;musica;pontos;pts_ganho;pts_calc;data
Shakira;Dai Dai;17048;45;0.635;20260701
Burna Boy;Dai Dai;17048;45;0.635;20260701
Madonna;Love Sensation;12683;485;0.191;20260701
HUGEL;Movin' To The Sun;12412;1355;0.396;20260701
Imael Angel;Movin' To The Sun;12412;1355;0.396;20260701
Ultra Naté;Movin' To The Sun;12412;1355;0.396;20260701
Madonna;I Feel So Free;12014;716;0.316;20260701
Robyn;Dancing On My Own;11011;-86;0.58;20260701
Madonna;Bring Your Love;9833;-41;0.304;20260701
Sabrina Carpenter;Bring Your Love;9833;-41;0.304;20260701
Ariana Grande;hate that i made you love me;9469;674;0.432;20260701
Taylor Swift;I Knew It, I Knew You;8503;-1390;0.374;20260701
Airbourne;Kid In A Candy Store;8492;8492;0.008;20260701
LE SSERAFIM;ICONIC BY MISTAKE;8369;689;0.091;20260701
ILLIT;ICONIC BY MISTAKE;8369;689;0.091;20260701
KATSEYE;ICONIC BY MISTAKE;8369;689;0.091;20260701
Snow Patrol;These Alarms;7912;7912;0.008;20260701
Kylie Minogue;These Alarms;7912;7912;0.008;20260701
Ella Langley;Choosin' Texas;7264;988;1.406;20260701
Bebe Rexha;New Religion;6761;943;0.819;20260701
Faithless;New Religion;6761;943;0.819;20260701
David Guetta;Run Run River;6381;-221;0.187;20260701
Alok;Run Run River;6381;-221;0.187;20260701
Stick Figure;Run Run River;6381;-221;0.187;20260701
Alex Warren;FEVER DREAM;6344;1150;1.024;20260701
Olivia Rodrigo;drop dead;6272;-403;0.602;20260701
Michael Jackson;Billie Jean;6175;-635;1.39;20260701
HUNTR/X;Golden;6046;-848;5.269;20260701
EJAE;Golden;6046;-848;5.269;20260701
AUDREY NUNA;Golden;6046;-848;5.269;20260701
REI AMI;Golden;6046;-848;5.269;20260701
KPop Demon Hunters Cast;Golden;6046;-848;5.269;20260701
Kimo Sounds;Rise Slow;5997;-962;0.132;20260701
The Second Voice;LET ME BE;5916;-792;1.219;20260701
STELLA LEFTY;Boston;5846;-114;0.268;20260701
Benson Boone;The Time Of My Life;5426;-1742;0.053;20260701
Love and Deepspace;Tameless Territory;5393;3442;0.007;20260701
Alex Warren;Ordinary;5261;-87;5.971;20260701
BTS;SWIM;5077;-1046;0.997;20260701
Bryan Adams;51st State;5038;5038;0.005;20260701
Michael Jackson;Beat It;4847;-925;0.83;20260701
HUGEL;Jamaican;4557;865;0.599;20260701
SOLTO (FR);Jamaican;4557;865;0.599;20260701
DJ Goja;Mi Chico;4518;-1828;0.03;20260701
Jason Derulo;Mi Chico;4518;-1828;0.03;20260701
Melody;Mi Chico;4518;-1828;0.03;20260701
DJ.ILHAM;DIGIDI DIGIDI;4370;-1077;0.248;20260701
RAYE;WHERE IS MY HUSBAND;4344;-461;2.906;20260701
Bruno Mars;I Just Might;4290;-308;1.833;20260701
LOVIXX STOSLIV;Don't tell your dreams;4284;-294;0.026;20260701
Teddy Swims;Mr. Know It All;4163;-1033;0.41;20260701
Stray Kids;RUN IT;4072;-2270;0.107;20260701
Tame Impala;Dracula;3995;498;0.67;20260701
JENNIE;Dracula;3995;498;0.67;20260701
Taylor Swift;The Fate of Ophelia;3971;-210;3.539;20260701
Cameron Whitcomb;Kingdom of Fear;3951;-1213;0.416;20260701
Kimo Sounds;After the fall;3943;473;0.057;20260701
Olivia Rodrigo;stupid song;3930;265;0.105;20260701
Harry Styles;American Girls;3926;-81;0.515;20260701
The Chemical Brothers;Go;3891;28;0.997;20260701
ANOTR;Talk To You;3794;1383;0.318;20260701
Saxboy Billy;The Puerto Rico Song;3606;-201;0.239;20260701
Ella Langley;Be Her;3521;136;0.446;20260701
SIENNA SPIRO;Material Lover;3474;1625;0.112;20260701
KITSCHKRIEG;Gut Genug;3461;-714;0.073;20260701
Blumengarten;Gut Genug;3461;-714;0.073;20260701
Shirin David;Gut Genug;3461;-714;0.073;20260701
Ragal Ironbull;VALHALLA CALLING;3423;981;0.368;20260701
Olivia Dean;So Easy;3397;-514;1.658;20260701
Bruno Mars;Risk It All;3359;-279;0.709;20260701
Olivia Dean;Man I Need;3300;-2;2.574;20260701
Peter Gabriel;I Belong to the Sky;3287;-482;0.007;20260701
SK.music;Inside My Soul;3211;1509;0.126;20260701
Josh Fawaz;Like a Prayer;3208;354;0.443;20260701
BearyTunes;Glaub an dich;3184;31;0.049;20260701
Katy Perry;Watch It Burn;3071;-1835;0.065;20260701
Justin Bieber;Beauty and a Beat;3046;-180;2.631;20260701
DJ Goja;Mi Chico;2988;-1589;0.118;20260701
The Whiskey Brothers;Brown Eyed Girl;2895;-185;0.034;20260701
Andreas Gabalier;UNA CANZONE PER TE;2865;-170;0.018;20260701
Pietro Basile;UNA CANZONE PER TE;2865;-170;0.018;20260701
Bad Bunny;NUEVAYoL;2861;-92;0.973;20260701
Ella Langley;you look like you love me;2756;-12;1.315;20260701
Riley Green;you look like you love me;2756;-12;1.315;20260701
Shaboozey;Cowgirl;2738;196;0.085;20260701
The Bausa;Magnetic;2706;914;0.208;20260701
Sam Fender;Rein Me In;2681;-1126;0.723;20260701
Olivia Dean;Rein Me In;2681;-1126;0.723;20260701
Asia;Heat of the Moment;2659;-1161;0.05;20260701
Tame Impala;Dracula;2647;324;0.47;20260701
Michael Jackson;Human Nature;2641;-1579;0.412;20260701
Gravel;Sit With Me Lord;2589;705;0.012;20260701
Grace;Sit With Me Lord;2589;705;0.012;20260701
Michael Jackson;Smooth Criminal;2549;-27;0.534;20260701
Lady Gaga;Die With A Smile;2520;1264;7.551;20260701
Bruno Mars;Die With A Smile;2520;1264;7.551;20260701
Jelly Roll;Hands Up;2503;938;0.02;20260701
Luna Azul;Butterflies;2490;2378;0.024;20260701
Alan Jackson;Remember When;2481;-507;0.092;20260701
sombr;Homewrecker;2463;889;0.494;20260701
Temper City;Self Aware;2453;424;0.099;20260701
BTS;Come Over;2419;691;0.205;20260701
Gracie Abrams;Look at My Life;2392;-632;0.04;20260701
Benson Boone;Beautiful Things;2387;-1113;7.29;20260701
Zara Larsson;Lush Life;2352;-175;2.861;20260701
Ac/Dc;Thunderstruck;2332;111;4.191;20260701
Mauvais Djo;Pilé;2313;731;0.058;20260701
G Flip;Bed on Fire;2311;388;0.13;20260701
BearyTunes;Mut;2274;-129;0.034;20260701
DoGoodDad;Don’t Turn the Page;2234;296;0.006;20260701
Michael Jackson;Thriller;2224;-458;1.176;20260701
Ella Langley;I Can't Love You Anymore;2218;36;0.197;20260701
Morgan Wallen;I Can't Love You Anymore;2218;36;0.197;20260701
XXXTENTACION;Moonlight;2214;417;0.807;20260701
Michael Jackson;Don't Stop 'Til You Get Enough;2144;340;0.308;20260701
The Rolling Stones;Jealous Lover;2082;-1823;0.047;20260701
Teddy Swims;The Door;2064;444;3.965;20260701
Harry Styles;Sign of the Times;2061;-307;4.961;20260701
Sarah Hession;My Last Goodbye;2056;-802;0.016;20260701
THE 8;singasong;2041;-1487;0.009;20260701
VERNON;singasong;2041;-1487;0.009;20260701
Taylor Swift;Opalite;2029;1034;1.933;20260701
Neil Diamond;Sweet Caroline;1973;877;1.468;20260701
Sia;Unstoppable;1969;726;7.652;20260701
Tomohiro Kamiyama;G.O.D.;1900;1900;0.002;20260701
Disney;Zoo;1867;422;0.62;20260701
Shakira;Zoo;1867;422;0.62;20260701
Gala;Freed from Desire;1832;854;0.874;20260701
Zara Larsson;Midnight Sun;1828;422;0.267;20260701
Billie Eilish;BIRDS OF A FEATHER;1823;483;5.976;20260701
Kis-My-Ft2;My Affection;1801;97;0.005;20260701
Levant;Ruf mich nicht mehr an;1797;-226;0.009;20260701
YOASOBI;Orion;1776;-284;0.01;20260701
Hoshimachi Suisei;The Stargazing Girl;1769;178;0.003;20260701
TAEYEON;Bansanka;1733;-957;0.007;20260701
Bad Bunny;DtMF;1664;-571;1.161;20260701
Linkin Park;Numb;1652;677;1.383;20260701
Drake;NOKIA;1633;7;1.901;20260701
ATEEZ;BAD;1631;-736;0.027;20260701
The Beaches;Edge of the Earth;1625;368;0.139;20260701
