TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;LIQUIDEZ MEDIA DIARIA FLOAT;VALOR DE MERCADO FLOAT;PL_X_PVP;DIVIDENDO;PRECO_MAXIMO;DIFF_PRECO_MAXIMO
BRFS3;17.95;11.62;10.21;2.01;0,43;24,77;9,54;4,32;4,62;6,96;2.35;1.02;0,44;3,24;-0,84;1,38;19,69;4,23;10,48;0.21;0.77;0.98;10.51;15.13;377.952.894,00;8.93;1,76;-0,38;28.579.854.639,05;377952894.0;28579854639.05;20.5221;2.08579;34.7701193;16.820119299999998
CEBR5;25.17;15.66;10.87;1.92;1,33;43,60;43,01;34,89;8,82;7,99;-1.85;-0.4;3,79;3,40;-2,51;5,89;17,65;12,21;11,92;0.69;0.14;0.35;14.87;-17.34;95.668,95;13.12;2,32;-1,46;2.025.780.368,10;95668.95;2025780368.1;20.870399999999997;3.941622;65.70683874000001;40.53683874000001
CPFE3;45.5;8.21;9.1;2.16;0,62;31,30;24,50;12,79;4,75;7,10;2.35;1.07;1,16;20,93;-0,82;1,15;23,72;6,86;15,41;0.29;0.7;0.54;7.5;9.61;70.126.721,91;21.09;5,00;1,13;52.427.577.020,00;70126721.91;52427577020.0;19.656;3.7355500000000004;62.27161850000001;16.77161850000001
ENMT3;35.88;7.34;10.76;2.01;0,47;24,72;17,96;7,84;4,70;9,40;4.65;1.99;0,84;3,04;-0,64;2,26;18,68;4,33;11,70;0.23;0.77;0.55;12.0;1.5;105.571,76;17.86;3,34;-0,39;7.937.381.705,37;105571.76;7937381705.37;21.627599999999997;2.633592;43.90197864000001;8.021978640000007
ENMT4;36.45;7.22;10.93;2.04;0,47;24,72;17,96;7,84;4,77;9,40;4.65;1.99;0,86;3,09;-0,65;2,26;18,68;4,33;11,70;0.23;0.77;0.55;12.0;1.5;56.265,29;17.86;3,34;-0,40;7.937.381.705,37;56265.29;7937381705.37;22.2972;2.6316900000000003;43.87027230000001;7.420272300000008
FIQE3;5.87;11.32;10.51;2.0;0,77;51,33;28,14;17,91;6,69;7,60;0.91;0.27;1,88;5,10;-1,13;1,91;19,07;7,35;8,22;0.39;0.61;0.41;32.89;34.61;3.138.443,10;2.93;0,56;0,37;2.342.638.612,02;3138443.1;2342638612.02;21.02;0.6644840000000001;11.076948280000002;5.2069482800000015
FLRY3;15.61;6.91;13.46;1.65;0,64;26,61;14,77;7,47;6,80;9,36;2.55;0.62;1,01;3,45;-0,98;2,14;12,25;4,76;10,28;0.39;0.6;0.64;22.78;19.83;27.777.408,32;9.47;1,16;11,63;8.541.651.915,86;27777408.32;8541651915.86;22.209;1.0786509999999998;17.98111217;2.37111217
ITSA3;13.5;9.8;8.91;1.68;1,32;25,32;221,97;203,02;8,15;8,37;0.23;0.05;18,10;20,52;-1,49;2,38;18,83;14,83;17,44;0.79;0.17;0.07;7.01;19.2;1.225.890,48;8.04;1,51;0,77;151.090.370.294,18;1225890.48;151090370294.18;14.9688;1.323;22.05441;8.55441
ITSA4;13.46;9.74;8.89;1.67;1,32;25,32;221,97;203,02;8,13;8,37;0.23;0.05;18,04;20,46;-1,48;2,38;18,83;14,83;17,44;0.79;0.17;0.07;7.01;19.2;490.901.476,57;8.04;1,51;0,77;151.090.370.294,18;490901476.57;151090370294.18;14.846300000000001;1.311004;21.854436680000003;8.394436680000002
ITUB4;42.24;7.45;10.13;2.22;0,15;35,55;12,88;11,83;9,30;9,54;;;1,20;-1,96;-0,15;0,14;21,93;1,45;;0.07;0.93;0.12;17.38;19.47;1.126.091.774,24;19.02;4,17;1,01;477.796.924.640,86;1126091774.24;477796924640.86;22.488600000000005;3.14688;52.45848960000001;10.218489600000005
LAVV3;11.94;21.55;5.88;1.71;0,50;33,83;25,07;22,06;5,17;6,23;1.06;0.35;1,30;0,76;-3,85;4,22;29,03;8,56;13,59;0.29;0.65;0.39;37.41;33.53;4.137.530,43;7.0;2,03;0,56;2.333.486.162,88;4137530.43;2333486162.88;10.0548;2.57307;42.893076900000004;30.953076900000006
MILS3;15.49;6.86;8.44;2.04;0,84;61,90;35,43;22,79;5,43;7,15;1.72;0.65;1,92;4,65;-1,25;2,21;24,19;9,93;16,42;0.41;0.59;0.44;29.41;;15.351.317,45;7.59;1,84;0,17;3.628.356.858,89;15351317.45;3628356858.89;17.2176;1.0626140000000002;17.713775380000005;2.2237753800000046
PINE3;11.9;6.87;5.79;1.78;0,09;20,91;15,46;10,22;3,82;3,82;;;0,59;4,64;-0,10;2,59;30,83;1,60;;0.05;0.95;0.16;31.37;;53.579,00;6.67;2,06;0,01;3.090.433.070,20;53579.0;3090433070.2;10.3062;0.81753;13.628225100000002;1.7282251000000013
PINE4;12.0;6.82;5.84;1.8;0,09;20,91;15,46;10,22;3,86;3,82;;;0,60;4,68;-0,10;2,59;30,83;1,60;;0.05;0.95;0.16;31.37;;14.457.271,10;6.67;2,06;0,01;3.090.433.070,20;14457271.1;3090433070.2;10.512;0.8184;13.642728000000002;1.6427280000000017
POMO3;5.5;18.73;5.51;1.69;0,72;25,49;15,36;13,81;4,95;6,27;1.12;0.38;0,76;2,48;-1,78;1,97;30,72;13,13;13,41;0.43;0.57;0.95;20.33;64.41;4.048.544,48;3.25;1,00;0,54;7.154.075.733,85;4048544.48;7154075733.85;9.3119;1.03015;17.1726005;11.672600500000001
POMO4;5.85;17.61;5.86;1.8;0,77;25,49;15,36;13,81;5,27;6,27;1.12;0.38;0,81;2,64;-1,89;1,97;30,72;13,13;13,41;0.43;0.57;0.95;20.33;64.41;41.257.692,24;3.25;1,00;0,57;7.154.075.733,85;41257692.24;7154075733.85;10.548;1.030185;17.17318395;11.323183949999999
