TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;2,79;;-5,28;0,40;0,14;26,83;9,47;-6,49;3,62;6,72;3,10;0,34;0,34;97,21;-0,19;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;111.745,33;7,00;-0,53;0,10;425.082.954,78
ABCB4;25,19;10,39;6,52;0,92;0,10;15,81;14,70;12,20;5,41;5,41;;;0,80;-2,13;-0,10;0,26;14,08;1,50;;0,11;0,89;0,12;28,96;24,19;17.788.879,14;27,43;3,86;1,93;6.564.541.230,39
ABEV3;16,73;7,82;16,93;2,93;1,85;51,48;26,87;17,66;11,13;10,43;-0,70;-0,18;2,99;225,58;-2,64;1,03;17,28;10,91;21,10;0,63;0,36;0,62;8,61;6,48;400.296.542,67;5,72;0,99;2,13;263.726.113.592,97
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,08;;-0,14;-0,15;0,09;-6,13;-83,80;-147,32;-0,24;-3,71;-3,47;;0,20;-0,71;-0,12;0,69;-112,94;-62,35;-66,14;-0,55;1,55;0,42;-19,51;;84.323,33;-13,47;-15,21;0,03;129.210.007,68
AESB3;8,12;;-21,02;1,83;0,42;27,29;23,39;-9,44;8,48;18,40;9,93;2,15;1,98;-11,75;-0,49;0,79;-8,72;-2,02;4,23;0,23;0,71;0,21;;;13.684.494,00;4,43;-0,39;2,77;8.367.914.180,36
AFLT3;7,21;7,40;13,84;1,75;1,24;81,47;71,10;51,35;10,00;9,58;-0,41;-0,07;7,11;6,12;-1,90;2,39;12,62;8,97;11,60;0,71;0,29;0,17;6,47;11,92;2.354,58;4,13;0,52;1,91;454.840.687,00
AGRO3;18,17;4,14;-126,18;0,91;0,49;12,72;-1,76;-1,54;-110,60;-190,62;-80,02;0,66;1,95;4,83;-0,71;1,47;-0,72;-0,39;-3,64;0,53;0,47;0,25;10,70;;1.960.923,57;19,88;-0,14;1,20;1.865.758.177,48
AGXY3;1,80;;0,03;-0,18;0,02;-1,14;39,74;70,06;0,05;1,41;1,36;;0,02;0,07;-0,03;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;31.134,52;-9,78;64,68;0,00;34.145.227,80
AHEB3;23,38;;4,03;0,68;0,33;18,50;10,33;8,96;3,50;2,13;-1,44;-0,28;0,36;1,31;-0,59;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;7.694,27;34,23;5,80;-0,07;204.057.099,26
AHEB5;58,00;;10,00;1,69;0,83;18,50;10,33;8,96;8,67;2,13;-1,44;-0,28;0,90;3,25;-1,45;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,18;204.057.099,26
